団体名,アカウント名,キャンパス,カテゴリー,
陸上競技部,shizuoka_tf,静岡,陸上・水泳,
陸上競技部,hamacam_tf,浜松,陸上・水泳,
水泳部,SUST_Shizucam,静岡,陸上・水泳,
水泳部,sustswimhama,浜松,陸上・水泳,
硬式野球部,shizudai_bbc,両方,球技系,
準硬式野球部,jyunko_shizuoka,静岡,球技系,
準硬式野球部,shizuhama_junko,浜松,球技系,
軟式野球部イリュージョン,illusion_bbc,浜松,球技系,
硬式テニス部,shizudaitennis,静岡,球技系,
硬式テニス部,hamamatsucampas,浜松,球技系,
ソフトテニス部,shizuUnisofteni,両方,球技系,
女子ソフトボール部,shizuoka_soft,両方,球技系,
男子バスケットボール部,waigoli,静岡,球技系,
男子バスケットボール部,Hamamatsubaske1,浜松,球技系,
男子バレーボール部,shizudaimvolle,静岡,球技系,
女子バレーボール部,shizuoka_7women,静岡,球技系,
男子バレーボール部,shizuhamavolley,浜松,球技系,
女子バレーボール部,suvchamamatsu,浜松,球技系,
卓球部,shizudai_ttc,静岡,球技系,
卓球部,shizuhama_ttc,浜松,球技系,
体育会サッカー部,shizudai_soccer,静岡,球技系,
サッカー部,shizudaiclub,浜松,球技系,
男子ハンドボール部,shizuoka_hand,静岡,球技系,
女子ハンドボール部,handballgirls,静岡,球技系,
ラグビー部,shizu_rug,両方,球技系,
アメリカンフットボール部,shizuoka_cavs,静岡,球技系,
ゴルフ部,shizudai_golf,両方,球技系,
うわの空,uwanosora_2023,浜松,球技系,アカウントが変わっている
FC.Raios,c_raios,浜松,球技系,
MINORIAS,MINORIAS2020,浜松,球技系,
柔道部,Shizudai_Judo2,静岡,武術・武道系,
柔道部,hamamatsu_judo,浜松,武術・武道系,
剣道部,kokentiai,静岡,武術・武道系,
剣道部,hamakyankendou,浜松,武術・武道系,
空手道部,shizudaikarate,静岡,武術・武道系,
空手道部,Hamamatsukarate,浜松,武術・武道系,
フルコンタクト空手道部,hotkick2019,静岡,武術・武道系,
少林寺拳法部,shizu_shorinji2,静岡,武術・武道系,
少林寺拳法部,shizudai_shojin,浜松,武術・武道系,
合気道部,AikidoSU,両方,武術・武道系,
日本拳法部,sizudai_kempo,静岡,武術・武道系,
弓道部,kyudo_shinkan,両方,武術・武道系,
体操競技部,shizokaunivgym,静岡,ダンス体操,
モダンダンス部,mdc_shizuoka,静岡,ダンス体操,
モダンダンス部,mdc_hamamatsu,浜松,ダンス体操,
鰻陀羅,mandara_yosakoi,浜松,ダンス体操,
ダンス部,shizudaidance,静岡,ダンス体操,
静岡大学オリエンテーリング部,SH_orienteering,浜松,アウトドア系,
静岡大学ワンダーフォーゲル部,shizudai_wv,静岡,アウトドア系,
山岳部,suac_fuji,静岡,アウトドア系,
探検部,Scexpedition,静岡,アウトドア系,
ダイビングクラブ海人会,divingkaizin,静岡,アウトドア系,
漕艇部,shizuokaSoutei,浜松,アウトドア系,
Hamana-Fishing,tsuri_shizudai,浜松,アウトドア系,
スケートボード部,7a800c0babd34d1,浜松,その他,
Airsoft Club of Shizuoka University,su_sabage,両方,その他,
演劇部,Shizu__engeki,静岡,芸術・表現系,
劇団Tips,tips_act,浜松,芸術・表現系,
美術部(浜松),shizudaiart_h,浜松,芸術・表現系,
写真部（静岡）,SUPCofficial,静岡,芸術・表現系,
静岡大学写真部（浜松）,photo_Hama_S,浜松,芸術・表現系,
xRサークルはまりあ,xR_Hamamatsu,両方,芸術・表現系,
茶道部,Hamamatsu_sado,浜松,伝統文化系,
将棋部,Shizudai_shogi,両方,伝統文化系,
かるた部,shizudaikaruta,静岡,伝統文化系,
SF研究会,Shizuoka_SF,浜松,学術教養系,
浜松漫画研究会,hama_man,浜松,学術教養系,
ゲーム研究会,hama_game_ken,浜松,学術教養系,
法社会学研究会,houshaken,静岡,学術教養系,
静岡学生サークル「飛翔」,shizudaihishow,静岡,学術教養系,
棚田研究会,su_tanaken,静岡,学術教養系,
昆虫同好会 虫処,mushidokoro,静岡,学術教養系,
キッズサイエンスカフェ,Kidssciencecafe,浜松,学術教養系,
コンテンツ制作サークル「ICON」,ICON_sh,浜松,学術教養系,
静大みかんクラブ,shizudai_mikan,静岡,学術教養系,
静岡時代編集部,shizuokajidai,静岡,学術教養系,
ルービックキューブサークル,shizudai_cube,浜松,学術教養系,
クイズ研究サークルSUQS,Quiz_Shizudai,浜松,学術教養系,
静岡大学プログラミングサークルSZPP,szpp_3776,浜松,学術教養系,
しずおかキャンパる編集部,shizuoka_campal,静岡,学術教養系,
視聴覚教育研究会（AVEC）,AVEC_ichomomi,静岡,ボランティア系,
AMIS,AMIS98445408,浜松,ボランティア系,
環境サークル「リアカー」,RearcarEco,静岡,ボランティア系,
自動車部,suac_420,両方,ものづくり系,
Shizuoka University Motors(SUM),sum_hamakaze,浜松,ものづくり系,
静岡大学ロボットファクトリー,twit_surf,浜松,ものづくり系,
SATT,satt_hamamatsu,浜松,ものづくり系,
管弦楽団,hama_kann,浜松,音楽系,
静岡大学吹奏楽団,SUWOnew,両方,音楽系,
S・S・H Jazz Orchestra（静岡）,sshjazz,静岡,音楽系,
Jazz Phenomena（浜松）,jazzphenomena,浜松,音楽系,
混声合唱団,sumc2,静岡,音楽系,
邦楽部,ryokutyadaisuki,静岡,音楽系,
フォークソング研究会,shizudaiFken,静岡,音楽系,
軽音楽愛好会　浜松キャンパス,shk_on23,浜松,音楽系,
近代音楽研究サークルNRC,NRC_hamamatsu,浜松,音楽系,
